ID	Title	URL	Version	Word count	OWE	SPURIOUS	SPECIFIC	LETTER	ROUNDUP	NON-UK EDITION	NON-ENGLISH	VIDEO	NON-DISRUPTIVE OWE	OWE_FOCUSSED	OWE_SPECIFIC_LLM	OWE_SPECIFIC_HUMAN	PASSES_SCREENING	PASSES_SCREENING_SPECIFIC	SUMMARY_CHECK	CORRECTION_INSTRUCTIONS	REPLACED_FIELDS
The-Guardian_2023-10-25_Fossil-fuel-firms	Fossil fuel firms spent millions on US lawmakers who sponsored anti-protest bills	https://www.theguardian.com/us-news/2023/oct/25/fossil-fuel-company-donate-lawmakers-anti-protest-exxon-koch	original	1076	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Owe unspecific	Yes	No	no_check		
BBC_2024-08-15_Activists-plead-not-guilty	Activists plead not guilty to spray painting jet	https://www.bbc.com/news/articles/ce8d4d7910do	original	225	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
The-Times_2023-11-27_Climate-activists-glue-50	Climate activists glue 50 Barclays branches shut	https://www.thetimes.com/business-money/economics/article/climate-activists-glue-50-barclays-branches-shut-sxnk3g60v	original	437	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	consistency_issue The summarised version fails the consistency check because it significantly alters the balance of perspectives presented in the original article. The original article maintains journalistic balance by including substantial content from Barclays' response, which takes up a significant portion of the article and presents the bank's position on their climate commitments, including their net zero ambition by 2050, their 32% reduction in energy sector emissions since 2020, and their $99 billion in green finance since 2018. The summary completely removes Barclays' response, creating an unbalanced presentation that is heavily weighted toward the protesters' perspective without the counterbalancing corporate response that was prominent in the original. This changes the overall tone from a balanced news report to one that appears more sympathetic to the protesters' position by omitting the bank's defense of their actions.	The original article ends with three sentences of a statement by Barclays bank defending themselves from the protesters' accusations. None of this material is included in the summary, which means that the overall balance has shifted from the original to be more sympathetic to the protesters in the summary. This must be fixed by including at least some summarised material from the Barclays statement.	
Sky_2024-08-20_London-City-Airport	London City Airport loses bid to overturn Saturday flight restrictions - but passenger cap raised	https://news.sky.com/story/london-city-airport-loses-bid-to-overturn-saturday-flight-restrictions-but-passenger-cap-raised-13200042	original	667	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-06-23_Climate-change-protestors	Climate change protestors disrupt Travelers Championship after storming 18th green before crucial Scottie Scheffler putt	https://www.dailymail.co.uk/sport/golf/article-13560869/travelers-championship-climate-change-protestors-pga-tour.html	original	839	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
BBC_2024-06-22_Newspaper-headlines-Slip-N	Newspaper headlines: 'Slip N Slide incident' and Stonehenge drama	https://www.bbc.com/news/articles/cp44lqz1l70o	original	504	Yes	No	Yes	No	Yes	No	No	No	No	Yes	No	Unused	No	No	no_check		
BBC_None_More-arrests-after-protest	More arrests after protest at power station	https://www.bbc.com/news/articles/c1ed4g28pngo	original	133	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
Metro_None_I-gave-a-speech	I gave a speech – and found myself interviewed by the police	https://metro.co.uk/2025/07/11/spoke-palestine-came-police-interrogation-23638263/	original	1146	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Metro_None_Irritating-protesters-try-to	Irritating protesters try to spoil world’s most eligible bachelor’s wedding	https://metro.co.uk/2024/06/07/worlds-eligible-bachelor-no-longer-eligible-20991951/	original	568	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Unused	No	No	no_check		
BBC_2024-12-17_Climate-groups-to-back	Climate groups to back M25 protesters' jail appeal	https://www.bbc.com/news/articles/cvgmnpv71xmo	original	360	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Daily-Mail_2024-07-06_Greta-Thunberg-is	Greta Thunberg is taken away by police as they fire water cannon at demonstrators protesting against fossil fuels in the Netherlands	https://www.dailymail.co.uk/news/article-13607173/Greta-Thunberg-police-water-cannon-Netherlands.html	original	357	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Daily-Mail_2023-10-17_Greta-Thunberg-20	Greta Thunberg, 20, arrested by police at Fossil Free London protest after blocking entrance to luxury hotel hosting oil bosses	https://www.dailymail.co.uk/news/article-12639153/Greta-Thunberg-joins-hundreds-eco-warriors-central-London-protest-activists-bang-drums-chant-oily-oily-money-out.html	original	1861	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Telegraph_2024-10-02_The-most-important-person	The most important person in entertainment – that you’ve never heard of	https://www.telegraph.co.uk/films/2024/10/02/meet-nina-gold-who-discovers-britains-acting-talent/	original	3008	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Metro_None_Teenager-drowns-in-front	Teenager drowns in front of classmates on school trip to beach	https://metro.co.uk/2024/07/02/boy-17-drowns-front-classmates-trip-west-wittering-beach-21149113/	original	291	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-09-25_Legal-challenge-to-Rosebank	Legal challenge to Rosebank oil field given go-ahead	https://www.bbc.com/news/articles/cx2m8zn95x1o	original	641	Yes	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_None_A-look-into-the	‘A look into the future’: TV drama about Danish climate refugees divides opinion	https://www.theguardian.com/world/2025/jan/03/families-like-ours-tv-drama-about-danish-climate-refugees-divides-opinion	original	864	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Telegraph_2025-06-30_British-manufacturing-could-disappear	British manufacturing could disappear for good under Labour	https://www.telegraph.co.uk/business/2025/06/30/british-manufacturing-dying-labour/	original	1008	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2023-12-05_Melbourne-Climate-protesters	Melbourne: Climate protesters issue chilling threat to cause peak hour chaos EVERY morning and afternoon this week	https://www.dailymail.co.uk/news/article-12829637/Melbourne-Climate-protesters-issue-chilling-threat-cause-peak-hour-chaos-morning-afternoon-week.html	original	327	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe but fails other criteria	Yes	No	no_check		
Daily-Mail_2024-06-18_Will-he-be	'Will he be eating crisps next?' Fans' fury after Gary Lineker is accused of flouting BBC advertising rules by 'wearing pale green Next T-shirt from his own collection'... after saying he has to AVOID colour on MOTD	https://www.dailymail.co.uk/news/article-13541589/fury-gary-lineker-flouts-bbc-advertising-rule-wearing-16-shirt-euro-2024.html	original	1216	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2024-01-02_Climate-crisis-2023	Climate crisis: 2023 was UK’s second-hottest year on record	https://www.theguardian.com/environment/2024/jan/02/climate-crisis-2023-was-uks-second-hottest-on-record	original	556	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2023-12-06_US-plastic-bag-recycling	US plastic bag recycling directory site taken down after ‘abysmal failure’	https://www.theguardian.com/us-news/2023/dec/06/plastic-bag-recycling-directory-disabled	original	768	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Times_2025-07-18_Palestine-Action-activist-wore	Palestine Action activist wore £6,000 gown to debutante ball	https://www.thetimes.com/uk/crime/article/tatler-palestine-action-georgie-robertson-h8p3mjrq9	original	1073	Yes	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-09-27_Activists-throw-soup-on	Activists throw soup on Van Gogh painting again	https://www.bbc.com/news/articles/c243v5m0r0lo	original	285	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
The-Guardian_None_I-Love-Russia	I Love Russia by Elena Kostyuchenko review – reportage at its best	https://www.theguardian.com/books/2023/oct/17/i-love-russia-by-elena-kostyuchenko-review-ukraine-war-journalism-novaya-gazeta	original	977	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2023-10-19_Greta-Thunberg-joins	Greta Thunberg joins second climate protest in London this week	https://www.theguardian.com/environment/2023/oct/19/greta-thunberg-joins-second-climate-protest-in-london-this-week	original	514	Yes	No	Yes	No	No	No	No	No	No	No	Yes	Unused	No	No	no_check		
Metro_None_I-thought-it-was	I thought it was a normal job interview. Then he pulled out my mugshot	https://metro.co.uk/2024/01/11/prison-18-years-now-just-want-work-20017322/	original	1316	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-07-24_Ten-Just-Stop-Oil	Ten Just Stop Oil activists arrested at Heathrow	https://www.bbc.com/news/articles/c2502nj7ynqo	original	321	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
Daily-Mail_2024-06-07_Duke-of-Westminster	Duke of Westminster and new bride Olivia Henson invite 400 guests for lavish bash featuring lemon wedding cake at Eaton Hall - the stately country pile where his family have lived for 600 years	https://www.dailymail.co.uk/news/article-13506501/duke-westminster-bride-olivia-henson-wedding-reception-400-guests.html	original	1398	Yes	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-07-28_Why-Just-Stop-Oils	Why Just Stop Oil's long jail sentences could embolden some activists	https://www.bbc.com/news/articles/c3g9yrdkwrwo	original	1012	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Owe unspecific	Yes	No	no_check		
Telegraph_2025-01-27_Labourbacking-green-tycoon-poised	Labour-backing green tycoon poised for £25m payday from oil-rich UAE	https://www.telegraph.co.uk/business/2025/01/27/labour-backing-green-tycoon-25m-payday-oil-rich-uae/	original	910	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2025-04-04_Ukraine-war-briefing-Kyiv	Ukraine war briefing: Kyiv solving its troop shortages, says top US general in Europe	https://www.theguardian.com/world/2025/apr/04/ukraine-war-briefing-kyiv-solving-its-troop-shortages-says-top-us-general-in-europe	original	975	No	Yes	No	No	Yes	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-01-19_Where-will-Sadiq	Where will Sadiq Khan find £123m to freeze Tube fares? London Mayor is accused of making 'magic money tree promises' in an election year as he pledges not to raise TfL ticket costs	https://www.dailymail.co.uk/news/article-12982101/Tube-fares-freeze-Transport-London-Underground-buses-Sadiq-Khan-election.html	original	1385	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2025-06-28_The-witchcraft-artist-the	The witchcraft artist, the Christian anarchist and the daughter of an NHS surgeon behind Palestine Action's plot to attack more RAF bases - as ringleaders 'have 150 targets in their sights'	https://www.dailymail.co.uk/news/article-14857085/witchcraft-artist-anarchist-daughter-NHS-surgeon-Palestine-Action.html	original	1692	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Metro_None_Aldi-has-rolled-out	Aldi has rolled out a major change to how it sells this popular crisp item	https://metro.co.uk/2024/06/20/aldi-makes-major-change-popular-snack-21070619/	original	537	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-02-27_Love-Islands-Curtis	Love Island's Curtis Pritchard believes show will include gay contestants in the future after bosses said it will always be a 'straight' series	https://www.dailymail.co.uk/tvshowbiz/article-13131791/Love-Islands-Curtis-Pritchard-believes-include-gay-contestants-future-bosses-said-straight-series.html	original	1102	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Telegraph_2024-09-29_Activists-throw-soup-on	Activists throw soup on British embassy in Berlin over Just Stop Oil sentences	https://www.telegraph.co.uk/world-news/2024/09/29/activists-soup-just-stop-oil-berlin-van-gogh/	original	303	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Owe specific	Yes	Yes	no_check		
Daily-Mail_2023-11-15_Grinning-Greta-Thunberg	Grinning Greta Thunberg is forced to make a run for it as she is mobbed outside court after denying public order offence	https://www.dailymail.co.uk/news/article-12751761/greta-thunberg-swedish-climate-campaigner-court-public-order-charge-crowds-eco-protesters-outside.html	original	1035	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Telegraph_2025-08-26_Labour-donor-Dale-Vince	Labour donor Dale Vince has £3.5m contracts with Sadiq Khan	https://www.telegraph.co.uk/politics/2025/08/26/labour-donor-dale-vince-has-35m-contracts-with-sadiq-khan/	original	403	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
ITV_2024-06-22_Just-Stop-Oil	Just Stop Oil protesters refused bail after denying Stansted Airport jets paint attack	https://www.itv.com/news/anglia/2024-06-22/climate-protestors-denied-bail-after-alleged-jet-spray-paint-attack	original	325	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
Telegraph_2025-03-20_Greenpeace-hit-with-660m	Greenpeace hit with $660m damages bill over oil pipeline protest	https://www.telegraph.co.uk/us/news/2025/03/20/greenpeace-pay-millions-dakota-oil-pipeline-protest/	original	258	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
The-Guardian_2024-12-11_Britain-leads-the-world	Britain leads the world in cracking down on climate activism, study finds	https://www.theguardian.com/environment/2024/dec/11/britain-leads-the-world-in-cracking-down-on-climate-activism-study-finds	original	734	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Owe unspecific	Yes	No	no_check		
The-Guardian_None_Sadiq-Khans-green	Sadiq Khan’s green credentials may be critical in London mayoral election	https://www.theguardian.com/politics/2024/apr/27/sadiq-khan-environment-london-mayoral-election	original	876	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-04-06_Greta-Thunberg-is	Greta Thunberg is detained twice by Dutch police during protest over fossil fuel in The Hague - as a video shows the moment two burly cops dump the Swedish climate activist on a coach	https://www.dailymail.co.uk/news/article-13279395/Greta-Thunberg-detained-Dutch-police-protest-fossil-fuel-Hague-coach.html	original	611	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Daily-Mail_2023-11-11_Met-Police-says	Met Police says deepfake audio of Sadiq Khan 'dismissing Remembrance Day commemorations' is 'not a crime'	https://www.dailymail.co.uk/news/article-12738309/met-police-sadiq-khan-deepfake-audio-remembrance-day-not-crime.html	original	647	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_None_TV-tonight-gothic	TV tonight: gothic classic rises from the dead with fresh bite	https://www.theguardian.com/tv-and-radio/2023/oct/12/tv-tonight-gothic-classic-rises-from-the-dead-with-fresh-bite	original	352	No	No	Yes	No	Yes	No	No	No	No	No	No	Unused	No	No	no_check		
The-Times_2024-05-18_Arrested-in-our-80s	Arrested in our 80s over Magna Carta: meet the Just Stop Oil pensioners	https://www.thetimes.com/uk/environment/article/arrested-in-our-80s-over-magna-carta-meet-just-stop-oils-pensioners-r2qhz9mn7	original	950	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
The-Guardian_2024-01-09_Poland-to-halt-logging	Poland to halt logging in 10 of its most ancient forests	https://www.theguardian.com/world/2024/jan/09/poland-to-halt-logging-in-10-of-its-most-ancient-forests	original	412	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-04-01_The-best-and	The best (and worst!) April Fools' Day pranks of all time: From Big Ben going digital to a bountiful Swiss spaghetti harvest - so did you fall for any?	https://www.dailymail.co.uk/femail/article-13259171/April-fools-best-worst-pranks.html	original	1758	No	No	Yes	No	Yes	No	No	No	No	No	No	Unused	No	No	no_check		
Metro_None_Woman-uses-asparagus-to	Woman uses asparagus to predict the future – but how accurate was she for 2023?	https://metro.co.uk/2023/12/28/woman-uses-asparagus-predict-future-accurate-2023-20032678/	original	1618	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2023-10-25_Could-my-marriage	Could my marriage survive driving 1,000 miles to Italy in an electric car? Her friends said she was mad - and after days of range anxiety, charging in the rain and a war over the air con, DAISY GOODWIN realised they might have had a point!	https://www.dailymail.co.uk/femail/article-12671991/Could-marriage-survive-driving-1-000-miles-Italy-electric-car-friends-said-mad-days-range-anxiety-charging-rain-war-air-DAISY-GOODWIN-realised-point.html	original	1885	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Telegraph_2024-09-27_Just-Stop-Oil-protesters	Just Stop Oil protesters who threw soup on Van Gogh painting jailed	https://www.telegraph.co.uk/news/2024/09/27/just-stop-oil-van-gogh-painting-jail/	original	232	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	no_check		
The-Guardian_2024-06-19_Oceans-group-takes	Oceans group takes UK government to court over oil and gas licences	https://www.theguardian.com/environment/article/2024/jun/19/oceans-group-takes-uk-government-to-court-over-oil-and-gas-licences	original	403	No	No	No	No	No	No	No	No	Yes	No	No	Unused	No	No	no_check		
BBC_2024-09-06_Greens-now-mainstream-says	Greens 'now mainstream', says first MP in region	https://www.bbc.com/news/articles/cq829x0evkwo	original	668	No	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Telegraph_2025-06-30_How-Glastonbury-lost-the	How Glastonbury lost the plot	https://www.telegraph.co.uk/music/news/how-glastonbury-lost-the-plot/	original	1884	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
BBC_2024-09-27_Activists-jailed-for-throwing	Activists jailed for throwing soup on Sunflowers	https://www.bbc.com/news/articles/cly7zy3d3exo	original	489	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
The-Guardian_2023-12-04_Police-make-630	Police make 630 arrests of climate protesters in London in one month	https://www.theguardian.com/world/2023/dec/04/police-arrest-climate-protesters-london	original	1173	Yes	No	Yes	No	No	No	No	No	No	Yes	No	Owe specific	Yes	Yes	pass		
Daily-Mail_2024-06-20_Is-nothing-sacred	Is nothing sacred to the eco clowns? After world heritage site Stonehenge is vandalised by Just Stop Oil, Rishi Sunak challenges major Labour donor who backed extremist group	https://www.dailymail.co.uk/news/article-13548643/world-heritage-site-Stonehenge-vandalised-Just-Stop-Oil-Rishi-Sunak-Labour.html	original	705	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Sky_2024-06-28_England-player-explains	England player explains how he ended up flying '10 feet in the air' in bike fall that gashed chin open	https://news.sky.com/story/england-player-explains-how-he-ended-up-flying-10-feet-in-the-air-in-bike-fall-that-gashed-chin-open-13160492	original	541	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2024-04-30_There-is-despair	‘There is despair’: fears for Scotland’s green policies as power-sharing ends	https://www.theguardian.com/uk-news/2024/apr/30/there-is-despair-fears-for-scotlands-green-policies-as-power-sharing-ends	original	911	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Telegraph_2024-02-01_Greta-Thunberg-was-given	Greta Thunberg was given ‘final warning’ before London arrest	https://www.telegraph.co.uk/news/2024/02/01/greta-thunberg-given-final-warning-before-london-arrest/	original	523	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Metro_None_Three-JSO-protesters-charged	Three JSO protesters charged after soup thrown at Van Gogh painting – again	https://metro.co.uk/2024/09/27/just-stop-activists-jailed-pouring-soup-van-gogh-painting-21692222/	original	790	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	consistency_issue, new_material_issue The summary has consistency issues because it removes crucial context that significantly changes how the protest is portrayed. The original article emphasizes that this soup-throwing incident occurred "hours after their fellow protesters were jailed for doing the same" and provides extensive detail about the previous sentencing, including the judge's harsh criticism and the substantial jail terms (2+ years). This context is essential to understanding the defiant nature of the repeat protest and the legal consequences activists face. By removing this context, the summary makes the protest appear as an isolated incident rather than a deliberate act of defiance following severe sentencing. The summary also contains new material not present in the original. The final paragraph attributes the questions "What is worth more, art or life?..." directly to "The protesters" from the recent incident. However, in the original article, these quotes are specifically attributed to Plummer from the 2022 incident ("In 2022, Plummer said in front of the painting:"). The summary incorrectly presents these as statements from the current protesters rather than historical quotes from a previous incident.		
The-Guardian_2024-09-13_High-court-blocks	High court blocks Cumbria plan for UK’s first new deep coalmine in 30 years	https://www.theguardian.com/environment/2024/sep/13/high-court-blocks-cumbria-plan-for-first-new-uk-coalmine-in-30-years	original	719	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
ITV_2024-08-21_Weve-been-lied	'We've been lied to': Feargal Sharkey and green activists to take to streets over water pollution	https://www.itv.com/news/2024-08-21/weve-been-lied-to-environmental-activists-to-protest-over-water-pollution	original	863	No	No	No	No	No	No	No	No	Yes	No	No	Unused	No	No	no_check		
Sky_2023-10-10_Glitter-thrown-over	Glitter thrown over Sir Keir Starmer during speech - protester arrested over severe security breach	https://news.sky.com/story/glitter-thrown-over-sir-keir-starmer-during-speech-protester-arrested-over-severe-security-breach-12981744	original	679	No	No	Yes	No	No	No	No	No	Yes	No	No	Unused	No	No	no_check		
The-Times_2025-01-30_Court-ruling-casts-doubt	Court ruling casts doubt on future of Rosebank oil field	https://www.thetimes.com/business-money/energy/article/court-victory-casts-doubt-on-future-of-north-sea-oil-and-gas-fields-8hhp3p9fh	original	1357	Yes	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Mirror_2024-07-30_Just-Stop-Oil-activists	Just Stop Oil activists spray orange paint around Heathrow Airport departure hall	https://www.mirror.co.uk/travel/news/just-stop-oil-activists-spray-33356167	original	648	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
Metro_None_Joining-a-weekly-fiveaside	Joining a weekly five-a-side cured my loneliness	https://metro.co.uk/2023/11/19/joining-a-weekly-five-a-side-cured-my-loneliness-19698997/	original	1316	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
ITV_2023-10-28_Bristol-claims-top	Bristol claims top spot for having longest allotment waiting list in the UK	https://www.itv.com/news/westcountry/2023-10-28/bristol-named-most-difficult-city-to-get-an-allotment-in-the-uk	original	555	Yes	No	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-07-08_Families-cower-in	Families cower in Barcelona restaurants as they are targeted by baying anti-tourist mob who spray them with water pistols and hold up signs mocking Brits who fall to their deaths from hotel balconies	https://www.dailymail.co.uk/news/article-13611177/Families-cower-Barcelona-restaurants-targeted-baying-anti-tourist-mob-spray-water-pistols-hold-signs-mocking-Brits-fall-deaths-hotel-balconies.html	original	1832	No	Yes	Yes	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2024-11-20_Latest-Russian-airstrikes-on	Latest Russian airstrikes on Ukraine threaten ‘catastrophic power failure’	https://www.theguardian.com/world/2024/nov/20/latest-russian-airstrikes-on-ukraine-threaten-catastrophic-power-failure	original	924	No	Yes	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
Daily-Mail_2024-04-05_Extinction-Rebellion-cofounder	Extinction Rebellion co-founder Roger Hallam is spared jail over plot to close Heathrow by flying drones near the airport in bid to force the Government to abandon plans for third runway	https://www.dailymail.co.uk/news/article-13276963/Extinction-Rebellion-Roger-Hallam-spared-jail-plot-close-Heathrow.html	original	727	Yes	No	Yes	No	No	No	No	No	No	Yes	Yes	Owe specific	Yes	Yes	pass		
The-Guardian_2024-05-10_Farmers-union-lobbied-to	Farmers’ union lobbied to increase pesticide limit in UK drinking water	https://www.theguardian.com/environment/article/2024/may/10/farmers-union-lobbied-to-increase-pesticide-limit-in-uk-drinking-water	original	958	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
The-Guardian_2024-09-12_Europe-saved-its	Europe saved its predators from the brink of extinction. So why is it killing thousands of bears, wolves and lynx?	https://www.theguardian.com/environment/2024/sep/12/europe-saved-its-predators-from-brink-of-extinction-so-why-killing-thousands-bears-wolves-lynx-aoe	original	1333	No	No	No	No	No	No	No	No	No	No	No	Unused	No	No	no_check		
